Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.034    0.034 C:\Users\Choigj\anaconda3\lib\asyncio\base_events.py:1(<module>)
     1735    0.005    0.000    0.033    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\numeric.py:537(argwhere)
        1    0.000    0.000    0.032    0.032 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\linear.py:1(<module>)
        1    0.000    0.000    0.032    0.032 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantizable\modules\activation.py:1(<module>)
   127659    0.032    0.000    0.032    0.000 {built-in method torch._C.is_grad_enabled}
        1    0.000    0.000    0.032    0.032 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\__init__.py:1(<module>)
        1    0.000    0.000    0.032    0.032 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\__init__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\__init__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\__init__.py:1(<module>)
        1    0.000    0.000    0.030    0.030 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\__init__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 C:\Users\Choigj\anaconda3\lib\site-packages\torch\hub.py:1(<module>)
        1    0.000    0.000    0.028    0.028 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\functional.py:1(<module>)
        8    0.000    0.000    0.027    0.003 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\__init__.py:46(is_available)
       13    0.027    0.002    0.027    0.002 {built-in method torch._C._cuda_getDeviceCount}
        1    0.000    0.000    0.027    0.027 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\__init__.py:1(<module>)
        1    0.000    0.000    0.027    0.027 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\datasets\lsun.py:1(<module>)
      715    0.026    0.000    0.026    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.025    0.025 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\faster_rcnn.py:1(<module>)
     1735    0.002    0.000    0.024    0.000 <__array_function__ internals>:2(amax)
      343    0.001    0.000    0.023    0.000 C:\Users\Choigj\anaconda3\lib\re.py:289(_compile)
    42457    0.023    0.000    0.023    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.022    0.022 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_jit_internal.py:1(<module>)
      116    0.000    0.000    0.022    0.000 C:\Users\Choigj\anaconda3\lib\re.py:250(compile)
        1    0.000    0.000    0.021    0.021 C:\Users\Choigj\anaconda3\lib\urllib\request.py:1(<module>)
       95    0.000    0.000    0.021    0.000 C:\Users\Choigj\anaconda3\lib\sre_compile.py:759(compile)
        1    0.000    0.000    0.021    0.021 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\__init__.py:1(<module>)
        1    0.000    0.000    0.021    0.021 C:\Users\Choigj\anaconda3\lib\site-packages\PIL\Image.py:27(<module>)
     1735    0.003    0.000    0.021    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2551(amax)
        1    0.000    0.000    0.019    0.019 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\random\__init__.py:1(<module>)
      316    0.001    0.000    0.018    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\overrides.py:166(decorator)
        1    0.000    0.000    0.018    0.018 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\activation.py:1(<module>)
        1    0.000    0.000    0.018    0.018 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\random\_pickle.py:1(<module>)
