Wed Jul 21 00:19:53 2021    profile.bin

         20713429 function calls (19569083 primitive calls) in 46.702 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\conv.py:343(Conv2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\datapipes\iter\loadfilesfromdisk.py:8(LoadFilesFromDiskIterDataPipe)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\_utils.py:129(BoxCoder)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:904(match_stream_handler)
       14    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:889(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\lzma.py:38(LZMAFile)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\__future__.py:81(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\core.py:1335(make_mask_descr)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:270(_ReplicationPadNd)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\utils\weight_norm.py:10(WeightNorm)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\transformer.py:255(TransformerEncoderLayer)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_script.py:827(_make_fail)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:38(Transform)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:1046(StackTransform)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\gumbel.py:11(Gumbel)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\backends\cuda\__init__.py:62(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\observer.py:44(ObserverBase)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\cffi\model.py:278(ConstPointerType)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\transforms\transforms.py:1197(RandomRotation)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\warnings.py:458(__enter__)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:1220(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\opcode.py:51(jabs_op)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\loader.py:66(TestLoader)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_dtype.py:36(_kind_name)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributed\__init__.py:8(is_available)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:100(NLLLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:615(BCEWithLogitsLoss)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\kumaraswamy.py:18(Kumaraswamy)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\log_normal.py:7(LogNormal)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\generalized_rcnn.py:12(GeneralizedRCNN)
        7    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\_weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:23(_WeightedLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:1124(MultiLabelSoftMarginLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\function.py:358(NestedIOFunction)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\urllib\error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:924(LowerCholeskyTransform)
       10    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\_decorator.py:14(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\focal_loss.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:261(_is_owned)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\async_case.py:8(IsolatedAsyncioTestCase)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\_importlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\activation.py:1289(LogSoftmax)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:1025(CrossEntropyLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\profiler.py:842(FunctionEvent)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:168(_ReflectionPadNd)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\conv.py:440(Conv3d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\conv.py:680(ConvTranspose2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:451(ReshapeTransform)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\PIL\ImageFont.py:156(FreeTypeFont)
        1    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\weakref.py:328(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\compat.py:145(on_windows)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\sslproto.py:404(SSLProtocol)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:1065(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\_internal.py:250(_ctypes)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\core.py:6440(__setattr__)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\colorama\ansitowin32.py:55(closed)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\streams.py:115(Event)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\dataclasses.py:298(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\lkj_cholesky.py:18(LKJCholesky)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\intrinsic\quantized\modules\linear_relu.py:5(LinearReLU)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\_register_onnx_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssd.py:51(SSDScoringHead)
        5    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:249(__exit__)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:2809(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\autograd\profiler.py:38(EventList)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:219(ReflectionPad2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\backends\cudnn\__init__.py:120(__init__)
        7    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\process.py:189(name)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\PIL\Image.py:3257(Exif)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\model_zoo.py:2(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:1177(_make_invoke_excepthook)
       22    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:1082(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:524(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\streams.py:390(StreamReader)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\extras.py:1522(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_utils.py:467(_get_device_index)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\glob_group.py:7(GlobGroup)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:1281(MultiMarginLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:281(ReplicationPad1d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:372(ReplicationPad3d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\beta.py:10(Beta)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\half_normal.py:10(HalfNormal)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\poolers.py:43(LevelMapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssd.py:90(SSDClassificationHead)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssd.py:99(SSDRegressionHead)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\cffi\model.py:102(PrimitiveType)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:2600(BoundArguments)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:610(__repr__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\windows_utils.py:81(PipeHandle)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\core\getlimits.py:92(_register_type)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\index_tricks.py:312(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\lib\_datasource.py:272(DataSource)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\std.py:1095(__hash__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\utils.py:241(_is_utf)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\linear.py:35(Linear)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_jit_internal.py:1135(_TensorExtractor)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributed\constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\lazy.py:52(LazyModuleMixin)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\activation.py:15(Threshold)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\normalization.py:13(LocalResponseNorm)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\parallel\data_parallel.py:40(DataParallel)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\connection.py:348(Connection)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\zipfile.py:794(ZipExtFile)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:603(TanhTransform)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\dataset.py:266(ChainDataset)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\_typing.py:95(_decompose_type)
       18    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:36(_make_class_unpicklable)
        6    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:641(__hash__)
       13    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\typing.py:1362(overload)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\platform.py:912(version)
       15    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\compat\_inspect.py:144(<lambda>)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\compat\_inspect.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\pathlib.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\numpy\ma\core.py:1321(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 D:\MyProject\alphaCG\oware\NNet.py:25(NNetWrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\hooks.py:9(RemovableHandle)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\dropout.py:7(_DropoutNd)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:321(ReplicationPad2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\padding.py:411(ZeroPad2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\utils\rnn.py:27(PackedSequence)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\logistic_normal.py:7(LogisticNormal)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\dynamic\modules\rnn.py:815(RNNCell)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\dynamic\modules\rnn.py:907(GRUCell)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\quantization\fake_quantize.py:61(FakeQuantize)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\deform_conv.py:103(DeformConv2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\PIL\ImageDraw.py:47(ImageDraw)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\multiprocessing\synchronize.py:210(Condition)
        3    0.000    0.000    0.000    0.000 {built-in method math.log}
        5    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        7    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\os.py:1082(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\socket.py:626(SocketIO)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\main.py:55(TestProgram)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\types.py:35(Storage)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:531(BCELoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:1345(TripletMarginLoss)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\fold.py:9(Fold)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\flatten.py:8(Flatten)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\__init__.py:16(Quantize)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\intrinsic\qat\modules\conv_fused.py:22(_ConvBnNd)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\urllib\request.py:2142(FancyURLopener)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\weibull.py:10(Weibull)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\dynamic\modules\rnn.py:647(RNNCellBase)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\utils\data\_typing.py:329(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\roi_pool.py:49(RoIPool)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\roi_heads.py:485(RoIHeads)
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:778(addFilter)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\coroutines.py:36(CoroWrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\sslproto.py:36(_SSLPipe)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\selector_events.py:747(_SelectorSocketTransport)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\unittest\runner.py:29(TextTestResult)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\terminal\__init__.py:614(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\serialization.py:69(register_package)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\cuda\streams.py:14(Stream)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\dataclasses.py:595(_is_classvar)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\lazy.py:9(_LazyProtocol)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\distance.py:7(PairwiseDistance)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\instancenorm.py:7(_InstanceNorm)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_check.py:9(AttributeTypeIsSupportedChecker)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\transforms.py:272(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\backends\cuda\__init__.py:79(__setattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\queue.py:27(Queue)
       12    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\os.py:1073(__subclasshook__)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:510(Formatter)
        8    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:728(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\base_events.py:273(Server)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\subprocess.py:99(CalledProcessError)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\selector_events.py:603(_SelectorTransport)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\tqdm\_tqdm_pandas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\_digraph.py:1(DiGraph)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\zipfile.py:317(ZipInfo)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\zipfile.py:2248(Path)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\detection\ssd.py:413(SSDFeatureExtractorVGG)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\xml\etree\ElementTree.py:1751(C14NWriterTarget)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\enum.py:597(_generate_next_value_)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\sre_parse.py:288(seek)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:1261(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\coloredlogs\__init__.py:1083(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\__init__.py:640(Timer)
        3    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\datetime.py:2199(_create)
        4    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\humanfriendly\compat.py:116(is_string)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\inspect.py:72(isclass)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\asyncio\proactor_events.py:46(_ProactorBasePipeTransport)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\_markupbase.py:23(ParserBase)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\_VF.py:21(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\dataclasses.py:351(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\package\package_importer.py:563(_PackageNode)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\loss.py:219(NLLLoss2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\normalization.py:181(GroupNorm)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\modules\pixelshuffle.py:7(PixelShuffle)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\quantized\modules\activation.py:117(Sigmoid)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\jit\_script.py:369(ScriptModule)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\email\_encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\distributions\relaxed_categorical.py:87(RelaxedOneHotCategorical)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torch\nn\intrinsic\quantized\modules\bn_relu.py:8(BNReLU2d)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\models\mobilenetv3.py:21(SqueezeExcitation)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\site-packages\torchvision\ops\roi_align.py:60(RoIAlign)
        5    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       24    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\logging\__init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 C:\Users\Choigj\anaconda3\lib\threading.py:573(Barrier)
